HGNCID	Status	ApprovedSymbol	ApprovedName	PreviousSymbols	AliasSymbol	EnsemblGeneID	UCSCGeneID	RefSeqAccession	UniProtAccession
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase		KATII|KAT2|KYAT2	ENSG00000109576	uc032udw.1	NM_016228	Q8N5Z0
HGNC:16881	Approved	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21		ENSG00000158122	uc004awm.4	NM_153698	Q7RTV5
HGNC:25662	Approved	AAGAB	alpha- and gamma-adaptin binding protein		FLJ11506|p34	ENSG00000103591	uc002aqk.6	NM_024666	Q6PD74
HGNC:19679	Approved	AAK1	AP2 associated kinase 1		KIAA1048|DKFZp686K16132	ENSG00000115977	uc002sfp.3	NM_014911	Q2M2I8
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015|FLJ21035|CK067	ENSG00000087884	uc058fuq.1	NM_024684	Q9H7C9
HGNC:18	Approved	AAMP	angio associated migratory cell protein			ENSG00000127837	uc002vhk.4	NM_001087	Q13685
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase		SNAT	ENSG00000129673	uc002jro.4	NM_001088	Q16613
HGNC:15886	Approved	AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	ENSG00000131043	uc002xfc.4	NM_015511	Q9Y312
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	ENSG00000205002	uc003yof.4	NM_001025357	Q4LEZ3
HGNC:20	Approved	AARS	alanyl-tRNA synthetase		CMT2N|AlaRS	ENSG00000090861	uc002eyn.2	NM_001605	P49588
HGNC:21022	Approved	AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	AARSL	KIAA1270|bA444E17.1	ENSG00000124608	uc010jza.2	NM_020745	Q5JTZ9
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	ENSG00000266967	uc031raq.2	NM_001261434	Q9BTE6
HGNC:49894	Approved	AARSP1	alanyl-tRNA synthetase pseudogene 1			ENSG00000249038		NG_043271	
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998|LYS2|ACSF4	ENSG00000157426	uc003hbn.5	NM_181806	Q4L235
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5|CGI-80|AASD-PPT|ACPS	ENSG00000149313	uc001pjc.2	NM_015423	Q9NRN7
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase		LORSDH|LKRSDH	ENSG00000008311	uc003vkb.4	NM_005763	Q9UDR5
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer			ENSG00000215458		NR_026961	
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor		DED|CHE-1|CHE1|BFR2	ENSG00000275700	uc002hni.3	NM_012138	Q9NY61
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase		AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77	ENSG00000181409	uc010dia.4	NM_004920	Q6ZMQ8
HGNC:40053	Approved	AATK-AS1	AATK antisense RNA 1			ENSG00000225180	uc010wul.1	NR_027255	
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1		AAV				
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	ENSG00000281376		NR_131907	
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase		GABAT	ENSG00000183044	uc002czc.5	NM_020686	P80404
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	ABC1|HDLDT1	TGD	ENSG00000165029	uc004bcl.4	NM_005502	O95477
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	ABC2		ENSG00000107331	uc064xhf.1	NM_001606	Q9BZC7
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C|EST111653|LBM180	ENSG00000167972	uc002cpy.2	NM_001089	Q99758
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	STGD1|ABCR|RP19|STGD	FFM|ARMD2|CORD3	ENSG00000198691	uc001dqh.4	NM_000350	P78363
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5		EST90625	ENSG00000154265	uc002jig.3	NM_018672	Q8WWZ7
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6		EST155051	ENSG00000154262	uc002jhw.2	NM_080284	Q8N139
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7		ABCX	ENSG00000064687	uc002lqw.5	NM_019112	Q8IZY2
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	ENSG00000141338	uc002jhq.5	NM_007168	O94911
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9		EST640918	ENSG00000154258	uc002jhu.4	NM_172386	Q8IUA7
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1			ENSG00000231749	uc060jgk.1	NR_126414	
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10		EST698739	ENSG00000154263	uc010dfa.2	NM_080282	Q8WWZ4
HGNC:31	Approved	ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	ABCA11	EST1133530|FLJ14297	ENSG00000251595		NR_002451.2	Q4W5N1
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232|LI2	ENSG00000144452	uc002vew.3	NM_173076	Q86UK0
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13		FLJ33876|FLJ33951	ENSG00000179869	uc003toq.2	NM_152701	Q86UQ4
HGNC:32972	Approved	ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"			ENSG00000238098		NR_003574	
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	PGY1|MDR1|CLCS	P-gp|CD243|GP170|ABC20	ENSG00000085563	uc003uiz.3	NM_000927	P08183
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	PGY3|MDR3	MDR2|PFIC-3|GBD1	ENSG00000005471	uc003uix.1	NM_000443	P21439
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5		EST422562|ABCB5beta|ABCB5alpha	ENSG00000004846	uc010kuh.4	NM_178559	Q2M3G0
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597|umat|MTABC3	ENSG00000115657	uc002vkc.3	NM_005689	Q9NP58
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535|Atm1p|ASAT	ENSG00000131269	uc004ebz.5	NM_004299	O75027
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8		EST328128|M-ABC1|MABC1	ENSG00000197150	uc003wik.6	NM_007188	Q9NUT2
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9		EST122234	ENSG00000150967	uc058upb.1	NM_019624	Q9NP78
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10		EST20237|M-ABC2|MTABC2	ENSG00000135776	uc001htp.4	NM_012089	Q9NRK6
HGNC:14114	Approved	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	ABCB10P|ABCB10P2	M-ABC2|MABC2	ENSG00000274099		NG_005041	
HGNC:31129	Approved	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3			ENSG00000261524		NG_022122	
HGNC:31130	Approved	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4			ENSG00000260053		NG_022102	
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	BSEP|PFIC2	ABC16|SPGP|PFIC-2|PGY4	ENSG00000073734	uc002ueo.2	NM_003742	O95342
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	MRP|MRP1	GS-X	ENSG00000103222	uc010bvi.4	NM_004996	P33527
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS|MRP2|cMRP	ENSG00000023839	uc001kqf.3	NM_000392	Q92887
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3		MRP3|cMOAT2|EST90757|MLP2|MOAT-D	ENSG00000108846	uc002isl.4	NM_020038	O15438
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4		MRP4|EST170205|MOAT-B|MOATB	ENSG00000125257	uc001vmd.5	NM_005845	O15439
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5		MRP5|SMRP|EST277145|MOAT-C	ENSG00000114770	uc003fmg.4	NM_005688	O15440
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1			ENSG00000223882	uc031scp.1	NR_046570	
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	ARA|PXE	MRP6|EST349056|MLP1|URG7	ENSG00000091262	uc002den.5	NM_001079528	O95255
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			ENSG00000256340		NR_003569	
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			ENSG00000255277		NR_023387	
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	SUR|HRINS	HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2	ENSG00000006071	uc001mnc.4	NM_000352	Q09428
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9		SUR2|CMD1O	ENSG00000069431	uc001rfi.2	NM_005691	O60706
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10		EST182763|MRP7|SIMRP7	ENSG00000124574	uc003ouz.1	NM_033450	Q5T3U5
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11		MRP8	ENSG00000121270	uc059txd.1	NM_032583	Q96J66
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12		MRP9	ENSG00000140798	uc002efc.1	NM_033226	Q96J65
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6|C21orf73|ABCC13P	ENSG00000243064		NR_003087	Q9NSE7
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN|ALDP|adrenoleukodystrophy	ENSG00000101986	uc004fif.2	NM_000033	P33897
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1					NG_001246	
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	ENSG00000215151		NG_001270	
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			ENSG00000261233		NG_001269	
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			ENSG00000225293		NG_001265	
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			ENSG00000214330		NG_006974	
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR|ALDRP	ENSG00000173208	uc001rmb.3	NM_005164	Q9UBJ2
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70|ZWS2	ENSG00000117528	uc001dqn.5	NM_002858	P28288
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69|P70R|EST352188	ENSG00000119688	uc001xpr.3	NM_005050	O14678
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1|RNASELI|RNS4I	RLI|OABP|RLI1	ENSG00000164163	uc003ijy.4	NM_002940	P61221
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	ENSG00000204574	uc003nql.4	NM_001025091	Q8NE71
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2		EST133090|ABC28|M-ABC1|HUSSY-18	ENSG00000033050	uc003wjp.5	NM_005692	Q9UG63
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			ENSG00000242159		NG_022253	
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			ENSG00000228769		NG_026596	
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3		EST201864	ENSG00000161204	uc003fmz.3	NM_018358	Q9NUQ8
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1		ABC8	ENSG00000160179	uc002zaq.4	NM_207174	P45844
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481|MXR|BCRP|ABCP|CD338	ENSG00000118777	uc003hrg.4	NM_004827	Q9UNQ0
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4		WHITE2	ENSG00000172350	uc031yhk.2	NM_022169	Q9H172
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5		STSL	ENSG00000138075	uc002rtn.3	NM_022436	Q9H222
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8		GBD4	ENSG00000143921	uc002rtq.3	NM_022437	Q9H221
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1		LABH1|FLJ36128	ENSG00000143994	uc002rit.4	NM_032604	Q96SE0
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2		LABH2	ENSG00000140526	uc002bnk.2	NM_007011	P08910
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3		LABH3	ENSG00000158201	uc002ktl.2	NM_001308256	Q8WU67
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4		FLJ12816	ENSG00000100439	uc001wgm.4	NM_022060	Q8TB40
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5		CGI-58|NCIE2	ENSG00000011198	uc003cmx.4	NM_016006	Q8WTS1
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6			ENSG00000163686	uc003djt.5	NM_020676	Q9BV23
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8		FLJ11743|MGC14280|MGC2512	ENSG00000127220	uc002ngb.4	NM_024527	Q96I13
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10		FLJ11342	ENSG00000144827	uc003dyk.6	NM_018394	Q9NUJ1
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	ENSG00000106077	uc003tzb.4	NM_001145364	Q8NFV4
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26|LINC00035	NCRNA00035	ENSG00000225969		NR_026690	
HGNC:40012	Entry Withdrawn	ABHD11-AS2	entry withdrawn						
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A	ENSG00000100997	uc002wus.3	NM_015600	Q8N2K0
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	ENSG00000131969	uc001wyr.3	NM_001206673	Q7Z5M8
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2|FLJ14906|BEM46L1	ENSG00000139826	uc001vqq.4	NM_032859	Q7L211
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A		DKFZP564O243|DORZ1	ENSG00000248487	uc003dco.4	NM_015407	Q9BUJ0
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough			ENSG00000114786	uc062kji.1	NM_001316331	
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B		MGC15429|CIB	ENSG00000114779	uc003dcn.3	NM_032750	Q96IU4
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15			ENSG00000168792	uc002hed.3	NM_198147	Q6UXT9
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13|lnc-TP53I13	ENSG00000264031			
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A	BAT5	NG26|D6S82E	ENSG00000204427	uc003nvy.3	NM_001177515	O95870
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	ENSG00000183260	uc002ygx.3	NM_080622	Q9H3Z7
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A	C19orf27|FAM108A1	MGC5244	ENSG00000129968	uc002lug.4	NM_031213	Q96GS6
HGNC:28394	Approved	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P	C1orf47	ENSG00000198658		NG_011738	
HGNC:34041	Approved	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4|FAM108A4P		ENSG00000250536		XR_041784	
HGNC:34042	Approved	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5|FAM108A5P		ENSG00000229107		NG_023156	
HGNC:34043	Approved	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6|FAM108A6P		ENSG00000263366		NG_000002	
HGNC:34044	Approved	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		ENSG00000226981		NG_022988	
HGNC:38508	Approved	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		ENSG00000260864		NG_022980	
HGNC:38509	Approved	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		ENSG00000260540		NG_023021	
HGNC:38510	Approved	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		ENSG00000261536		NG_028293	
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B	C9orf77|FAM108B1	CGI-67	ENSG00000107362	uc004ail.4	NM_016014	Q5VST6
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C	FAM108C1		ENSG00000136379	uc002bfu.4	NM_021214	Q6PCB6
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	ENSG00000164074		NM_001039717	Q0P651
HGNC:11320	Approved	ABI1	abl interactor 1	SSH3BP1	E3B1|ABI-1	ENSG00000136754	uc001isx.4	NM_005470	Q8IZP0
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P|ABI1P		ENSG00000271484		NG_002531	
HGNC:24011	Approved	ABI2	abl interactor 2		ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2	ENSG00000138443	uc002uzz.5	NM_005759	Q9NYB9
HGNC:29859	Approved	ABI3	ABI family member 3		NESH|SSH3BP3	ENSG00000108798	uc002iop.1	NM_016428	Q9P2A4
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein		NESHBP|DKFZP586L2024|TARSH	ENSG00000154175	uc003dun.4	NM_015429	Q7Z7G0
HGNC:76	Approved	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL	JTK7|c-ABL|p150	ENSG00000097007	uc004bzv.4	NM_007313	P00519
HGNC:77	Approved	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABLL	ARG	ENSG00000143322	uc001gmj.5	NM_005158	P42684
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	LIMAB1|ABLIM	abLIM|limatin	ENSG00000099204	uc057wcy.1	NM_001003407	O14639
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2		KIAA1808	ENSG00000163995	uc003gkj.5	NM_001130083	Q6H8Q1
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3		KIAA0843	ENSG00000173210	uc003lpy.3	NM_014945	O94929
HGNC:79	Approved	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		A3GALNT|A3GALT1	ENSG00000175164	uc064wua.1	NM_020469	P16442
HGNC:81	Approved	ABR	active BCR-related		MDB	ENSG00000159842	uc002fsd.6	NM_001092	Q12979
HGNC:30655	Approved	ABRA	actin binding Rho activating protein		STARS	ENSG00000174429	uc003ymm.5	NM_139166	Q8N0Z2
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	C6orf115	PRO2013|HSPC280|Costars	ENSG00000146386	uc003qil.2	NM_021243	Q9P1F3
HGNC:17369	Approved	ABT1	activator of basal transcription 1			ENSG00000146109	uc003nii.4	NM_013375	Q9ULW3
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1			ENSG00000250496		NG_025142	
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ|EF1ABP|Btb3|BTBD21	ENSG00000114626	uc003ejt.4	NM_172027	Q969K4
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619|BTBD22|ABTB2A	ENSG00000166016	uc001mvl.3	NM_145804	Q8N961
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1			ENSG00000060971	uc003cht.4	NM_001607	P09110
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2		DSAEC	ENSG00000167315	uc002ldw.5	NM_006111	P42765
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ACAC|ACC	ACC1	ENSG00000278540	uc284osy.1	NM_198836	Q13085
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta		HACC275|ACC2|ACCB	ENSG00000076555	uc001tob.4	NM_001093	O00763
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8			ENSG00000151498	uc001qhk.4	NM_014384	Q9UKU7
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9		NPD002|MGC14452	ENSG00000177646	uc003ela.5	NM_014049	Q9H845
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	ENSG00000111271	uc009zvx.4	NM_025247	Q6JQN1
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	ENSG00000240303	uc003eov.5	NM_032169	Q709F0
HGNC:88	Approved	ACADL	"acyl-CoA dehydrogenase, long chain"		LCAD|ACAD4	ENSG00000115361	uc002vdz.5	NM_001608	P28330
HGNC:89	Approved	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"		MCAD|MCADH|ACAD1	ENSG00000117054	uc001dgw.6	NM_000016	P11310
HGNC:90	Approved	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"		SCAD|ACAD3	ENSG00000122971	uc001tza.5	NM_000017	P16219
HGNC:91	Approved	ACADSB	"acyl-CoA dehydrogenase, short/branched chain"		SBCAD|ACAD7	ENSG00000196177	uc001lhb.4	NM_001609	P45954
HGNC:92	Approved	ACADVL	"acyl-CoA dehydrogenase, very long chain"		VLCAD|LCACD|ACAD6	ENSG00000072778	uc002gev.5	NM_000018	P49748
HGNC:86	Entry Withdrawn	ACAD	entry withdrawn						
HGNC:319	Approved	ACAN	aggrecan	MSK16|CSPG1|AGC1	CSPGCP	ENSG00000157766	uc010upo.1	NM_001135	P16112
HGNC:16467	Approved	ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	CENTB1	KIAA0050	ENSG00000072818	uc002ggd.3	NM_014716	Q15027
HGNC:16469	Approved	ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	CENTB2	KIAA0041|CNT-B2	ENSG00000114331	uc003fun.5	NM_012287	Q15057
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1			ENSG00000229325	uc062rqs.1		
HGNC:16754	Approved	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	CENTB5	KIAA1716	ENSG00000131584	uc001aeb.3	NM_030649	Q96P50
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	ENSG00000075239	uc001pjy.4	NM_000019	P24752
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2			ENSG00000120437	uc010kjy.4	NM_005891	Q9BWD1
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	GOLPH1|GOCAP1	GCP60|PAP7	ENSG00000182827	uc001hpy.4	NM_022735	Q9H3P7
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1			ENSG00000234478		XR_001738503	
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4		FLJ13322	ENSG00000181513	uc002iic.4	NM_024722	Q8NC06
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417|KIAA1996	ENSG00000107897	uc001ito.4	NM_145698	Q5T8D3
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6		MGC2404	ENSG00000230124	uc001gog.4	NM_032360	Q9BR61
